folio_id,reservation_id,balance,status
F-00159,R-00159,972.36,Open
F-00160,R-00160,1121.85,Closed
F-00161,R-00161,2338.16,Open
F-00162,R-00162,2410.67,Open
F-00163,R-00163,1257.08,Closed
F-00164,R-00164,420.43,Open
F-00165,R-00165,683.65,Closed
F-00166,R-00166,0.0,Voided
F-00167,R-00167,958.17,Open
F-00168,R-00168,342.96,Closed
F-00169,R-00169,2620.32,Closed
F-00170,R-00170,902.49,Closed
F-00171,R-00171,609.72,Open
F-00172,R-00172,3623.42,Open
F-00173,R-00173,150.3,Closed
F-00174,R-00174,750.02,Closed
F-00175,R-00175,365.38,Open
F-00176,R-00176,0.0,Voided
F-00177,R-00177,381.69,Closed
F-00178,R-00178,4555.37,Closed
F-00179,R-00179,690.42,Open
F-00180,R-00180,575.93,Open
